Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
Safety Training,1bbf3abd-c267-46ba-99f5-3185b5523b3f,Safety Data Sheets,"This lesson covers the importance and components of Safety Data Sheets (SDS), which provide essential information about handling hazardous materials safely. ","<p data-pm-slice=""1 1 []"">This lesson covers the importance and components of Safety Data Sheets (SDS), which provide essential information about handling hazardous materials safely. Understanding SDS is crucial for ensuring workplace safety and compliance with regulations.</p>
<ol>
<li>
<p><strong>Know the purpose</strong>. SDS are vital for informing about chemical hazards.</p>
</li>
<li>
<p><strong>Familiarize with sections</strong>. Each SDS has specific sections detailing risks and safety measures.</p>
</li>
<li>
<p><strong>Use SDS effectively</strong>. Always refer to the SDS before handling any hazardous substances.</p>
</li>
<li>
<p><strong>Stay compliant</strong>. Understanding SDS helps maintain regulatory compliance in the workplace.</p>
</li>
</ol>
<p>Mastering the use of SDS is key to maintaining a safe and compliant work environment.</p>",Hazard Communication; Safety Procedure,Safety; Hazards; Documentation,
Safety Training,06b26169-0efa-4311-bea7-331e5c0039d3,MSHA 24-Hour New Miner Surface Mining Course,"This course meets MSHA Part 46 requirements for new surface miners, providing 24 hours of essential safety instruction before beginning work. Participants learn hazard recognition, emergency procedures, miners’ rights and responsibilities, safe work practices, and the use of protective equipment to ensure a safe start in the mining industry.","<p data-end=""457"" data-start=""81"">This course provides the <strong data-end=""224"" data-start=""161"">required 24 hours of safety training for new surface miners</strong> in accordance with <strong data-end=""312"" data-start=""244"">Mine Safety and Health Administration (MSHA) Part 46 regulations</strong>. It is designed for individuals who are beginning work in the mining industry and must complete training before engaging in mining operations.</p>
<p data-end=""936"" data-start=""459"">The program covers a wide range of topics to prepare new miners for safe and effective work on site. Participants will learn about hazard recognition, miners’ rights and responsibilities, workplace safety policies, emergency response procedures, first aid basics, and proper use of personal protective equipment (PPE). The training also addresses safe work practices around heavy equipment, traffic control, fire prevention, environmental hazards, and reporting requirements.</p>
<p data-end=""1149"" data-start=""938"">Through interactive instruction and practical discussions, new miners gain the knowledge and confidence needed to identify risks, follow established safety protocols, and contribute to a safe work environment.</p>
<p data-end=""1342"" data-start=""1151"">Upon completion of the full 24 hours, participants will meet <strong data-end=""1254"" data-start=""1212"">MSHA’s mandatory training requirements</strong> and receive documentation certifying them to begin work in surface mining operations.</p>",MSHA,MSHA 24-Hour New Miner,
Safety Training,5a370651-4a9c-4a3d-8e0c-34ed38a1f9cd,Safety Coordinator - 4.0 Task Training,"This course teaches Safety Coordinators how to provide, observe, and document task training to ensure employees work safely, competently, and in compliance with OSHA and MSHA standards.","<h2 data-end=""222"" data-start=""184""><strong data-end=""220"" data-start=""187"">Task Training </strong></h2>
<p data-end=""506"" data-start=""224"">Task training is one of the most important responsibilities of a Safety Coordinator. This course provides the knowledge and tools you need to ensure employees are properly trained, closely supervised, and officially documented before performing any new job or operating equipment.</p>
<h3 data-end=""535"" data-start=""508""><strong data-end=""533"" data-start=""512"">What You’ll Learn</strong></h3>
<ul data-end=""1481"" data-start=""536"">
<li data-end=""700"" data-start=""536"">
<p data-end=""700"" data-start=""538""><strong data-end=""572"" data-start=""538"">The Safety Coordinator’s Role:</strong> How task training protects you, your crew, and the company by combining clear instructions with documented proof of training.</p>
</li>
<li data-end=""820"" data-start=""701"">
<p data-end=""820"" data-start=""703""><strong data-end=""730"" data-start=""703"">Skill Level Assessment:</strong> Why you must never assume an employee is qualified until their abilities are evaluated.</p>
</li>
<li data-end=""1023"" data-start=""821"">
<p data-end=""1023"" data-start=""823""><strong data-end=""852"" data-start=""823"">Step-by-Step Instruction:</strong> Best practices for preparing employees to learn, presenting tasks clearly, reviewing hazards, and confirming understanding by having employees repeat back instructions.</p>
</li>
<li data-end=""1226"" data-start=""1024"">
<p data-end=""1226"" data-start=""1026""><strong data-end=""1053"" data-start=""1026"">Observation &amp; Coaching:</strong> How to monitor employees in both non-productive and productive environments, provide corrective feedback in a positive way, and taper off supervision as competence grows.</p>
</li>
<li data-end=""1481"" data-start=""1227"">
<p data-end=""1481"" data-start=""1229""><strong data-end=""1260"" data-start=""1229"">Documentation Requirements:</strong> The importance of using GSL’s Task Training forms, including the Certificate of Task Training, to create accountability, maintain compliance with OSHA and MSHA, and demonstrate that all training was conducted properly.</p>
</li>
</ul>
<h3 data-end=""1507"" data-start=""1483""><strong data-end=""1505"" data-start=""1487"">Why It Matters</strong></h3>
<p data-end=""1878"" data-start=""1508"">Proper task training prevents accidents, improves craftsmanship, and ensures regulatory compliance. More importantly, it reinforces GSL Electric’s commitment to safety and our philosophy of “Zero Broken Lives.” Documenting every training session not only protects the company, but also provides proof that employees have the knowledge and support they need to succeed.</p>",Safety Coordinator; Safety Procedure; Task Training,Task Training; Safety Coordinator,
Safety Training,0219aea8-f706-4ffa-a0c7-3781e6d05b64,Safety Coordinator - 7.0 Safety Inspections,"This course covers the responsibilities of Foremen, Safety Coordinators, and employees in performing and documenting safety inspections. You’ll learn how to inspect tools, equipment, and worksites, identify hazards, and maintain records to ensure compliance, accountability, and a safe jobsite.","<h2 data-end=""186"" data-start=""143""><strong data-end=""184"" data-start=""146"">Safety Inspections </strong></h2>
<p data-end=""612"" data-start=""188"">Regular inspections are a cornerstone of GSL Electric’s safety program. They ensure that tools, equipment, and work areas are safe, hazards are identified and corrected, and compliance with OSHA, MSHA, and company requirements is maintained. This course provides Safety Coordinators, Foremen, and employees with the knowledge and responsibilities needed to carry out effective safety inspections and keep accurate records.</p>
<h3 data-end=""641"" data-start=""614""><strong data-end=""639"" data-start=""618"">What You’ll Learn</strong></h3>
<ul data-end=""1725"" data-start=""642"">
<li data-end=""856"" data-start=""642"">
<p data-end=""856"" data-start=""644""><strong data-end=""673"" data-start=""644"">Roles &amp; Responsibilities:</strong> Understanding the inspection duties of Foremen, Safety Coordinators, project leadership, and employees—including daily visual checks and tagging defective equipment out of service.</p>
</li>
<li data-end=""1038"" data-start=""857"">
<p data-end=""1038"" data-start=""859""><strong data-end=""885"" data-start=""859"">Work Area Inspections:</strong> How to perform daily jobsite safety observations, correct unsafe behaviors immediately, and document conditions using checklists and inspection forms.</p>
</li>
<li data-end=""1220"" data-start=""1039"">
<p data-end=""1220"" data-start=""1041""><strong data-end=""1081"" data-start=""1041"">Pre-Operation Equipment Inspections:</strong> Requirements for vehicles, manlifts, forklifts, aerial and scissor lifts, and other mobile equipment under both OSHA and MSHA standards.</p>
</li>
<li data-end=""1407"" data-start=""1221"">
<p data-end=""1407"" data-start=""1223""><strong data-end=""1259"" data-start=""1223"">Quarterly &amp; Monthly Inspections:</strong> Procedures for inspecting electrical tools and cords, fire extinguishers, fall protection equipment, and maintaining proper records for one year.</p>
</li>
<li data-end=""1568"" data-start=""1408"">
<p data-end=""1568"" data-start=""1410""><strong data-end=""1435"" data-start=""1410"">Scaffold Inspections:</strong> The role of competent persons in performing and documenting daily scaffold inspections to ensure safety and regulatory compliance.</p>
</li>
<li data-end=""1725"" data-start=""1569"">
<p data-end=""1725"" data-start=""1571""><strong data-end=""1601"" data-start=""1571"">Employee Responsibilities:</strong> Daily pre-use inspections of tools, extension cords, ladders, harnesses, lanyards, and all personal protective equipment.</p>
</li>
</ul>
<h3 data-end=""1751"" data-start=""1727""><strong data-end=""1749"" data-start=""1731"">Why It Matters</strong></h3>
<p data-end=""2274"" data-start=""1752"">Inspections are not just a regulatory requirement—they are a proactive way to prevent accidents, extend the life of equipment, and protect employees from harm. Documenting inspections creates accountability, demonstrates compliance, and protects both the company and its workforce. By performing thorough inspections and maintaining accurate records, Safety Coordinators and project leaders help ensure that every employee can work with safe tools, equipment, and conditions—and return home safely at the end of the day.</p>",Vehicle/Equipment Inspections; Safety Culture; Safety Coordinator; Safety Planning; Safety Procedure; Assured Grounding; Work Area Inspections,Assured Grounding; Inspections; Work Area Inspections; Vehicle/Equipment Inspections,
Safety Training,f71cc30a-af0e-4bfa-b233-37e5b753acc1,Nevada's Employee Rights and Responsibilities - New Hire Safety Orientation,"Safety in the workplace is of utmost importance at our organization. Accidents and injuries in the workplace affect thousands of workers every year and have a serious impact on business.

Following simple techniques and using common sense goes a long way toward preventing accidents and workplace injuries.  This course will teach you the basics you need to know to prevent a workplace injury. Familiarize yourself with the following content and complete the brief assessment. ","<p data-pm-slice=""1 1 []"">This course highlights the importance of workplace safety and provides strategies to prevent injuries and maintain a safe environment.</p>
<ol>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Understand workplace safety</strong>. It is essential for protecting employees and the organization.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Learn injury prevention techniques</strong>. Simple practices can significantly reduce risks.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Use common sense in safety</strong>. Everyday awareness helps avoid hazards.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Identify workplace hazards</strong>. Recognize common causes of slips and trips.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Promote teamwork in safety</strong>. Collaboration is key to preventing injuries.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Maintain safe surfaces</strong>. Ensure floors are not slippery to reduce fall risks.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Report hazards promptly</strong>. Immediate communication enhances safety.</p>
</li>
</ol>
<p data-pm-slice=""1 1 []"">By applying these safety principles, you can contribute to a safer and more productive workplace.</p>",Safety Culture,Safety; Hazards,
Safety Training,75d7e67c-6059-47fc-b861-3c17cd4814f4,Fall Protection In Industrial And Construction Environments,"This course is designed to equip you with essential knowledge and skills to prevent fall-related accidents, which are one of the leading causes of injuries in the construction industry.","<p data-pm-slice=""1 1 []"">This course provides comprehensive training on fall prevention and safety practices in industrial and construction settings. It emphasizes hazard identification, proper equipment use, and adherence to safety regulations.</p>
<ul>
<li data-pm-slice=""1 1 []""><strong>Recognize fall hazards</strong>. Identify and address potential risks in your work environment.</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Use equipment properly</strong>. Ensure fall protection gear is selected and utilized correctly.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Understand OSHA standards</strong>. Familiarize yourself with regulations to maintain compliance.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Inspect scaffolding and ladders</strong>. Check for stability and damage before use.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Maintain safety practices</strong>. Follow guidelines, use PPE, and adhere to weight limits.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Prevent slips and trips</strong>. Implement measures like mats, lighting, and clear walkways.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Regularly inspect and train</strong>. Keep equipment in good condition and refresh safety protocols.</p>
</li>
</ul>
<p data-pm-slice=""1 1 []"">By applying these safety principles, you can create a safer work environment and prevent fall-related accidents.</p>","Slips, Trips, & Falls",Scaffolding; Safety; Falls; Ladders; Hazards; OSHA; Trips; Slips,
Safety Training,efdc2172-1ac3-49fc-8deb-403686cae341,Engage365 for Users,"In just 5 minutes, you'll delve into the essential features of Engage365, designed to enhance employee engagement and communication.","<style>
.description-content {
    font-family: Arial, sans-serif;
    background-color: #F3F3FF;
    margin: 0;
    padding: 0;
    max-width: 100%;
    line-height: 170%;
}
.topbar {
    color: #000;
    text-align: left;
    padding: 20px;
}
.logo {
    width: 75px;
    height: 75px; 
    vertical-align: middle;
}
.title {
    display: inline-block;
    font-size: 28px;
    font-weight: bolder;
    vertical-align: middle;
}
.content {
    text-align: left;
    padding: 20px;
}
.content p {
    font-size: 18px;
    margin: 20px 0;
 line-height: 170%;
}
.content img {
    max-width: 100%;
    height: auto;
    border-radius: 20px;
}
.endQuote {
    text-align: center;
    padding: 20px;
}
.endQuote p {
    font-size: 22px;
    line-height: 200%;
    font-weight: bolder;
    margin: 20px 0;
}
.endQuote img {
    max-width: 70px;
}
hr.new {
    border-top: 1px dashed white;
}
</style>
<div class=""description-content"">
<div class=""topbar"">
<div class=""title"">Engage365</div>
</div>
<hr class=""new"">
<div class=""content"">
<p><b>Welcome to our Engage365 for Users course! </b></p>
<p>In just 5 minutes, you'll delve into the essential features of Engage365, designed to enhance employee engagement and communication.</p>
<p>Whether you're a new Engage365 customer or a Learn365 user, this course is tailored to help you grasp the core uses of Engage365 in your daily interactions with managers.</p>
<p>By watching a video, reading descriptive content, and taking a quick quiz, you'll uncover the benefits of employee check-ins, master the art of completing a check-in, and discover how this tool can revolutionize communication with your manager.</p>
</div>
<div class=""endQuote"">
<p>Get ready to elevate your engagement game with Engage365!</p>
</div>
</div>",Engage365 for Users; Engage365,,
Safety Training,b62009df-8b54-4ccf-96b0-489da0271ade,Commitment to Safety : A Shared Responsibility-  New Hire Safety Orientation,"Safety is positioned as a value, not just a priority subject to change. The company is undergoing positive transformations and aims to set high standards for safety in the construction sector. The message concludes by expressing pride in employees' work, welcoming new members as valued partners in building a thriving future together.","<p data-pm-slice=""1 1 []"">The 'Commitment to Safety: A Shared Responsibility' course underscores the importance of safety as a core value and a shared responsibility within the construction industry. It highlights the company's dedication to high safety standards and the essential role of every team member, including new hires.</p>
<ul>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Safety is a core value</strong>. It should be prioritized and integrated into all aspects of work.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>The company is committed to high safety standards</strong>. This reflects its dedication to a positive and safe work culture.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>New employees are valued partners</strong>. Their contributions are vital to the company's success and safety goals.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Everyone shares the responsibility for safety</strong>. Collaboration ensures a safe and productive work environment.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Balance is crucial</strong>. Harmonizing safety, quality, and productivity is key to success in construction.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Continuous improvement matters</strong>. A proactive mindset towards safety can prevent injuries and enhance performance.</p>
</li>
</ul>
<p data-pm-slice=""1 1 []"">Remember, fostering a safe work environment is a collective effort that leads to shared success.</p>",Safety Culture,Safety,
Safety Training,4797d345-ea24-4908-a096-5417444b8bb6,Safety Coordinator - 3.0 Employee Safety Orientation,"Employee Safety Orientation is the foundation of GSL Electric’s safety program. It ensures every new or transferred employee understands the importance of accident prevention, safe work practices, and compliance with company policies and procedures.","<h2 data-end=""232"" data-start=""178""><strong data-end=""230"" data-start=""181"">Employee Safety Orientation </strong></h2>
<p data-end=""541"" data-start=""234"">The <strong data-end=""269"" data-start=""238"">Employee Safety Orientation</strong> course introduces all new and transferred employees to GSL Electric’s safety culture, policies, and procedures. This training is essential for preventing workplace accidents and ensuring that every employee understands their role in maintaining a safe work environment.</p>
<h3 data-end=""568"" data-start=""543""><strong data-end=""566"" data-start=""547"">Course Overview</strong></h3>
<p data-end=""937"" data-start=""569"">The course explains both general and project-specific orientation requirements. Employees will learn how to complete required forms, receive critical safety documents, and be introduced to site-specific rules and hazards. By the end of this training, participants will understand how to protect themselves and their coworkers while meeting GSL’s safety expectations.</p>
<h3 data-end=""966"" data-start=""939""><strong data-end=""964"" data-start=""943"">What You’ll Learn</strong></h3>
<ol data-end=""2304"" data-start=""967"">
<li data-end=""1604"" data-start=""967"">
<p data-end=""1081"" data-start=""970""><strong data-end=""1000"" data-start=""970"">General Safety Orientation</strong> (conducted by the Safety and Human Resource Departments at the branch office):</p>
<ul data-end=""1604"" data-start=""1085"">
<li data-end=""1165"" data-start=""1085"">
<p data-end=""1165"" data-start=""1087"">Completion of the <strong data-end=""1162"" data-start=""1105"">Standards of Performance and Probationary Policy Form</strong>.</p>
</li>
<li data-end=""1232"" data-start=""1169"">
<p data-end=""1232"" data-start=""1171"">Completion of the <strong data-end=""1229"" data-start=""1189"">Employee Emergency Notification Form</strong>.</p>
</li>
<li data-end=""1298"" data-start=""1236"">
<p data-end=""1298"" data-start=""1238"">How to access the <strong data-end=""1288"" data-start=""1256"">Accident Prevention Handbook</strong> online.</p>
</li>
<li data-end=""1359"" data-start=""1302"">
<p data-end=""1359"" data-start=""1304"">Participation in the <strong data-end=""1356"" data-start=""1325"">New Hire Safety Orientation</strong>.</p>
</li>
<li data-end=""1419"" data-start=""1363"">
<p data-end=""1419"" data-start=""1365"">Issuance of <strong data-end=""1416"" data-start=""1377"">Personal Protective Equipment (PPE)</strong>.</p>
</li>
<li data-end=""1495"" data-start=""1423"">
<p data-end=""1495"" data-start=""1425"">Issuance of <strong data-end=""1492"" data-start=""1437"">Hazard Communication and Safety Management Programs</strong>.</p>
</li>
<li data-end=""1604"" data-start=""1499"">
<p data-end=""1604"" data-start=""1501"">Documentation through the <strong data-end=""1601"" data-start=""1527"">Safety Orientation &amp; Hazard Communication Program Acknowledgement Form</strong>.</p>
</li>
</ul>
</li>
<li data-end=""1995"" data-start=""1606"">
<p data-end=""1691"" data-start=""1609""><strong data-end=""1641"" data-start=""1609"">Project-Specific Orientation</strong> (conducted by a Foreman or Safety Coordinator):</p>
<ul data-end=""1995"" data-start=""1695"">
<li data-end=""1757"" data-start=""1695"">
<p data-end=""1757"" data-start=""1697"">Introduction to the project and the employee’s work areas.</p>
</li>
<li data-end=""1814"" data-start=""1761"">
<p data-end=""1814"" data-start=""1763"">Review of <strong data-end=""1811"" data-start=""1773"">site-specific rules and procedures</strong>.</p>
</li>
<li data-end=""1898"" data-start=""1818"">
<p data-end=""1898"" data-start=""1820"">Identification of <strong data-end=""1859"" data-start=""1838"">potential hazards</strong> and related <strong data-end=""1895"" data-start=""1872"">safe work practices</strong>.</p>
</li>
<li data-end=""1995"" data-start=""1902"">
<p data-end=""1995"" data-start=""1904"">Documentation with the <strong data-end=""1992"" data-start=""1927"">Introduction to Work Area &amp; Hazard Awareness Orientation Form</strong>.</p>
</li>
</ul>
</li>
<li data-end=""2110"" data-start=""1997"">
<p data-end=""2024"" data-start=""2000""><strong data-end=""2022"" data-start=""2000"">PPE Accountability</strong></p>
<ul data-end=""2110"" data-start=""2028"">
<li data-end=""2110"" data-start=""2028"">
<p data-end=""2110"" data-start=""2030"">Ensuring employees are properly issued and consistently wear all required PPE.</p>
</li>
</ul>
</li>
<li data-end=""2304"" data-start=""2112"">
<p data-end=""2140"" data-start=""2115""><strong data-end=""2138"" data-start=""2115"">Additional Training</strong></p>
<ul data-end=""2304"" data-start=""2144"">
<li data-end=""2304"" data-start=""2144"">
<p data-end=""2304"" data-start=""2146"">Scheduling for any training required by operations personnel, general contractors, or regulatory agencies (MSHA, OSHA, or other site-specific requirements).</p>
</li>
</ul>
</li>
</ol>
<h3 data-end=""2330"" data-start=""2306""><strong data-end=""2328"" data-start=""2310"">Why It Matters</strong></h3>
<p data-end=""2643"" data-start=""2331"">This orientation ensures employees are fully prepared to recognize hazards, follow safe work practices, and comply with GSL’s safety standards. It also provides the documentation and accountability necessary to protect employees, supervisors, and the company while creating a safe, productive work environment.</p>",Safety Coordinator; Employee Orientation,Safety; Safety Coordinator; Orientation,
Safety Training,d0e7b258-751f-489f-bd35-548774f006a0,Qualified Person - Required Precautions & Practices / Energized Work,"This course reviews G.S.L. Electric’s Energized Work Policy, outlining required safety precautions, PPE standards, and documentation procedures when performing work on or near energized electrical systems. Learners will understand how to assess risk, maintain compliance with NEC and NFPA 70E, and respond to electrical emergencies effectively. Designed for Qualified and Authorized personnel engaged in energized work.","<p data-end=""649"" data-start=""216"">This training course provides a detailed overview of G.S.L. Electric’s <strong data-end=""327"" data-start=""287"">Energized Work Policy and Procedures</strong>, ensuring all employees understand and apply the required precautions when performing work on or near energized electrical equipment. Through a series of guided scenes, learners will review critical safety standards, hazard identification processes, and compliance expectations aligned with NFPA 70E and NEC requirements.</p>
<p data-end=""1144"" data-start=""651"">The course begins with a review of <strong data-end=""737"" data-start=""686"">energized work barriers and protective measures</strong>, emphasizing the correct use of rubber insulating equipment, voltage-rated plastic guards, and mechanical barriers to maintain safe approach boundaries. Learners will then explore the <strong data-end=""969"" data-start=""922"">documentation and verification requirements</strong> that must be completed prior to any energized work — including client coordination, hazard recognition, risk assessment, and the completion of G.S.L.’s Energized Work Permit.</p>
<p data-end=""1573"" data-start=""1146"">Subsequent sections reinforce the importance of <strong data-end=""1239"" data-start=""1194"">proper PPE selection, inspection, and use</strong>, the establishment of <strong data-end=""1296"" data-start=""1262"">arc flash and shock boundaries</strong>, and the prohibition of conductive materials within restricted areas. Participants will also learn the proper procedures for <strong data-end=""1441"" data-start=""1422"">tool inspection</strong>, <strong data-end=""1470"" data-start=""1443"">safe equipment handling</strong>, and <strong data-end=""1514"" data-start=""1476"">incident energy level verification</strong> to ensure compliance with G.S.L. and regulatory standards.</p>
<p data-end=""1865"" data-start=""1575"">Finally, the course outlines the <strong data-end=""1641"" data-start=""1608"">emergency response procedures</strong> for electrical shock and arc flash incidents, including required safety equipment staging (fire extinguisher, first aid kit, AED, and communication devices) and immediate response steps in the event of an electrical injury.</p>
<h3 data-end=""1897"" data-start=""1867""><strong data-end=""1895"" data-start=""1871"">Learning Objectives:</strong></h3>
<p data-end=""1972"" data-start=""1898"">Upon successful completion of this course, participants will be able to:</p>
<ul data-end=""2390"" data-start=""1973"">
<li data-end=""2069"" data-start=""1973"">
<p data-end=""2069"" data-start=""1975"">Identify and apply the required precautions for energized work under G.S.L. Electric policy.</p>
</li>
<li data-end=""2140"" data-start=""2070"">
<p data-end=""2140"" data-start=""2072"">Demonstrate proper use and inspection of barriers, tools, and PPE.</p>
</li>
<li data-end=""2225"" data-start=""2141"">
<p data-end=""2225"" data-start=""2143"">Perform pre-task risk assessments and complete the G.S.L. Energized Work Permit.</p>
</li>
<li data-end=""2292"" data-start=""2226"">
<p data-end=""2292"" data-start=""2228"">Maintain compliance with NEC and NFPA 70E safety requirements.</p>
</li>
<li data-end=""2390"" data-start=""2293"">
<p data-end=""2390"" data-start=""2295"">Respond effectively to electrical emergencies in accordance with established safety procedures.</p>
</li>
</ul>",Electrical Safety; Qualified Person,Qualified Person; Electrical Safety,
Safety Training,f8bddb1d-da2c-4438-bb43-5df0e2be843f,Safety Coordinator - 11.0 OSHA & MSHA Inspections,"Course Description – OSHA & MSHA Inspections
This course explains the rights and responsibilities of employers, employees, and Safety Coordinators during OSHA and MSHA inspections. You’ll learn how inspections are conducted, what triggers them, and how to respond to citations, penalties, and abatement requirements. The training also covers posting requirements, inspection priorities, and the role of Safety Coordinators in ensuring hazards are corrected quickly, documentation is accurate, and crews remain safe and compliant.","<h2 data-end=""231"" data-start=""183""><strong data-end=""229"" data-start=""186"">OSHA &amp; MSHA Inspections</strong></h2>
<p data-end=""564"" data-start=""233"">Understanding how OSHA and MSHA inspections work is critical for Safety Coordinators, Foremen, and project leadership at GSL Electric. This course explains inspection procedures, employer and employee responsibilities, and the steps required to correct hazards, manage citations, and maintain compliance with federal safety laws.</p>
<h3 data-end=""593"" data-start=""566""><strong data-end=""591"" data-start=""570"">What You’ll Learn</strong></h3>
<ul data-end=""2226"" data-start=""594"">
<li data-end=""795"" data-start=""594"">
<p data-end=""795"" data-start=""596""><strong data-end=""614"" data-start=""596"">OSHA Overview:</strong> The Occupational Safety and Health Act of 1970 requires employers to provide a workplace free from recognized hazards and empowers OSHA to inspect, cite, and penalize violations.</p>
</li>
<li data-end=""1001"" data-start=""796"">
<p data-end=""1001"" data-start=""798""><strong data-end=""824"" data-start=""798"">Inspection Procedures:</strong> What to expect during unannounced OSHA inspections—including entry, scope, records review, and closing conferences—as well as employer and employee rights during inspections.</p>
</li>
<li data-end=""1189"" data-start=""1002"">
<p data-end=""1189"" data-start=""1004""><strong data-end=""1030"" data-start=""1004"">Inspection Priorities:</strong> How OSHA prioritizes imminent danger situations, fatalities, severe injuries, worker complaints, referrals, targeted inspections, and follow-up inspections.</p>
</li>
<li data-end=""1358"" data-start=""1190"">
<p data-end=""1358"" data-start=""1192""><strong data-end=""1212"" data-start=""1192"">Imminent Danger:</strong> How OSHA defines imminent danger, what conditions qualify, and the role of Safety Coordinators in reporting and addressing hazards immediately.</p>
</li>
<li data-end=""1562"" data-start=""1359"">
<p data-end=""1562"" data-start=""1361""><strong data-end=""1387"" data-start=""1361"">Citations &amp; Penalties:</strong> How violations are classified (willful, serious, repeated, and other-than-serious), maximum penalty amounts, abatement deadlines, and posting requirements for OSHA Notices.</p>
</li>
<li data-end=""1751"" data-start=""1563"">
<p data-end=""1751"" data-start=""1565""><strong data-end=""1596"" data-start=""1565"">Employer &amp; Employee Rights:</strong> Options for informal conferences, petitions for modification of abatement dates, alternate standards, and the ability for employees to raise objections.</p>
</li>
<li data-end=""1967"" data-start=""1752"">
<p data-end=""1967"" data-start=""1754""><strong data-end=""1775"" data-start=""1754"">MSHA Inspections:</strong> Requirements under the Federal Mine Safety and Health Act of 1977, including inspection frequency, citation procedures, penalties, and closure orders for unsafe conditions on mine projects.</p>
</li>
<li data-end=""2226"" data-start=""1968"">
<p data-end=""2226"" data-start=""1970""><strong data-end=""2010"" data-start=""1970"">Safety Coordinator Responsibilities:</strong> The critical role Safety Coordinators play in inspections—ensuring hazards are corrected quickly, documentation is accurate, corrective actions are taken, and findings are communicated across crews and management.</p>
</li>
</ul>
<h3 data-end=""2252"" data-start=""2228""><strong data-end=""2250"" data-start=""2232"">Why It Matters</strong></h3>
<p data-end=""2697"" data-start=""2253"">OSHA and MSHA inspections are designed to protect workers by ensuring hazards are identified and corrected promptly. Failing to comply can result in severe penalties, work stoppages, and risks to employee safety. By understanding how inspections are conducted and how to respond effectively, Safety Coordinators and project leadership protect employees, maintain compliance, and uphold GSL Electric’s reputation for safety and accountability.</p>",Safety Culture; Safety; Safety Coordinator; Safety Planning; OSHA & MSHA Inspections,Safety; Inspections; Planning; Safety Coordinator; Safety Culture; OSHA,
