Course,Source File,Skill Buckets,Skills,Difficulty (Level),,Category (First level of Course Catalog),Subcategory (Second level of Course Catalog),,Difficulty (Level),Tags,,,Mandatory For,Recommended For,Notes
Safety Coordinator - 6.0 Project Planning & Identifying Hazards,safety-coordinator-6-0-project-planning-identifying-hazards-scorm12-pa7utguc.zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety; Planning,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
Safety Coordinator - 8.0 Disciplinary Action,safety-coordinator-8-0-disciplinary-action-scorm12-efm1bzaa.zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
Safety Coordinator - 9.0 Accident & Incident Investigations,safety-coordinator-9-0-accident-incident-investigations-scorm12-viiehqfz.zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
Types Of Chemical Hazards,5a311cb4-586b-412a-88fb-0a50c800ba67.zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Safety Coordinator - 10.0 Injury & Case Management,safety-coordinator-10-0-injury-case-management-scorm12-bhn-skit.zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
`,chapter-4-introduction-to-safety-management-scorm12-jkruifsj.zip,Safety,,Foundational,,Safety Accountability,Safety,,Foundational,Field Leadership; Safety,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Introduction to Safety Management- Introduction to Field Leadership Section - 1,introduction-to-safety-management-introduction-to-field-leadership-section-1-scorm12-xqqzeydb.zip,Safety,Project Safety,Foundational,,Safety Accountability,Safety,,Foundational,Field Leadership; Safety,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Safely Accessing a Scaffold,98b56719-5696-4c87-bc57-ee2143596b89.zip,Safety,,Foundational,,Scaffold Safety,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Supported Scaffolds and OSHA Regulations,0fed7f77-3b20-43df-90c2-6c28b3ca4a5f.zip,Safety,,Foundational,,Scaffold Safety,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Supported Scaffolding Safety in Industrial and Construction Environments,c2ef003b-0aa1-40d0-8653-3cf6c5a31466.zip,Safety,,Foundational,,Scaffold Safety,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Working Safely on Scaffolding,working-safely-on-scaffolding-scorm12-0txrzw9l.zip,Safety,,Foundational,,Scaffold Safety,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
TEST,test-scorm12-2n9lhzco.zip,,,,,,[TEST COURSE -- recommend removal],,,,,,,,No skill assigned - review needed; FLAG: TEST course - no skills; consider removal from catalog
[FROM FILENAME] Untitled,untitled-scorm12-xrofbisj.zip,,,,,,[UNKNOWN — needs investigation],,,,,,,,No skill assigned - review needed
